S000000001	TFC3	YAL001C|FUN24|TSV115
S000000002	VPS8	YAL002W|FUN15|VPL8|VPT8
S000000003	EFB1	YAL003W|TEF5
S000000004	SSA1	YAL005C|Hsp70 family ATPase SSA1|YG100
S000000005	ERP2	YAL007C
S000000006	FUN14	YAL008W
S000000007	SPO7	YAL009W
S000000008	MDM10	YAL010C|FUN37
S000000009	SWC3	YAL011W|SWC1
S000000010	CYS3	YAL012W|CYI1|FUN35|STR1|cystathionine gamma-lyase CYS3
S000000011	DEP1	YAL013W|FUN54
S000000012	SYN8	YAL014C|SLT2|UIP2
S000000013	NTG1	YAL015C|FUN33|SCR1|bifunctional N-glycosylase/AP lyase NTG1|ogg2
S000000014	TPD3	YAL016W|FUN32
S000000015	PSK1	YAL017W|FUN31
S000000016	YAL018C	YAL018C
S000000017	FUN30	YAL019W
S000000018	ATS1	YAL020C|FUN28|KTI13
S000000019	CCR4	YAL021C|FUN27|NUT21
S000000020	FUN26	YAL022C
S000000021	PMT2	YAL023C|FUN25
S000000022	LTE1	YAL024C|MSI2
S000000023	MAK16	YAL025C
S000000024	DRS2	YAL026C|FUN38|SWA3|aminophospholipid-translocating P4-type ATPase DRS2
S000000025	SAW1	YAL027W
S000000026	FRT2	YAL028W|HPH2
S000000027	MYO4	YAL029C|FUN22|SHE1|myosin 4
S000000028	SNC1	YAL030W
S000000029	GIP4	YAL031C|FUN21
S000000030	PRP45	YAL032C|FUN20
S000000031	POP5	YAL033W|FUN53
S000000032	MTW1	YAL034W-A|DSN3|NSL2
S000000033	FUN12	YAL035W|yIF2
S000000034	RBG1	YAL036C|FUN11
S000000035	YAL037W	YAL037W
S000000036	CDC19	YAL038W|PYK1|pyruvate kinase CDC19
S000000037	CYC3	YAL039C|holocytochrome c synthase CYC3
S000000038	CLN3	YAL040C|DAF1|FUN10|WHI1
S000000039	CDC24	YAL041W|CLS4
S000000040	ERV46	YAL042W|FUN9
S000000041	PTA1	YAL043C|FUN39
S000000042	GCV3	YAL044C|glycine decarboxylase subunit H
S000000044	AIM1	YAL046C
S000000045	SPC72	YAL047C|LDB4
S000000046	GEM1	YAL048C|GON1
S000000047	AIM2	YAL049C
S000000048	OAF1	YAL051W|YAF1
S000000049	FLC2	YAL053W|HUF2
S000000050	ACS1	YAL054C|FUN44|acetate--CoA ligase 1
S000000051	PEX22	YAL055W|YAF5
S000000052	GPB2	YAL056W|KRH1
S000000054	CNE1	YAL058W|FUN48
S000000055	ECM1	YAL059W
S000000056	BDH1	YAL060W|(R,R)-butanediol dehydrogenase|BDH
S000000057	BDH2	YAL061W|putative dehydrogenase BDH2
S000000058	GDH3	YAL062W|FUN51|glutamate dehydrogenase (NADP(+)) GDH3
S000000059	FLO9	YAL063C
S000000060	YAL064W	YAL064W
S000000062	SEO1	YAL067C
S000000063	NUP60	YAR002W
S000000064	SWD1	YAR003W|CPS50|FUN16|SAF49
S000000065	RFA1	YAR007C|BUF2|FUN3|RPA1|RPA70
S000000066	SEN34	YAR008W|FUN4
S000000067	YAR009C	YAR009C|YARCTyB1-1|truncated gag-pol fusion protein
S000000068	YAR010C	YAR010C|YARCTyA1-1|gag protein
S000000069	BUD14	YAR014C
S000000070	ADE1	YAR015W|phosphoribosylaminoimidazolesuccinocarboxamide synthase
S000000071	KIN3	YAR018C|FUN52|NPK1
S000000072	CDC15	YAR019C|LYT1
S000000073	PAU7	YAR020C
S000000074	YAR023C	YAR023C
S000000075	UIP3	YAR027W
S000000076	YAR028W	YAR028W
S000000077	YAR029W	YAR029W
S000000078	PRM9	YAR031W
S000000079	MST28	YAR033W
S000000080	YAT1	YAR035W|carnitine O-acetyltransferase YAT1
S000000081	SWH1	YAR042W|OSH1|YAR044W
S000000084	FLO1	YAR050W|FLO2|FLO4
S000000087	YAR061W	YAR061W
S000000088	YAR062W	YAR062W
S000000089	YAR064W	YAR064W
S000000091	YAR068W	YAR068W
S000000094	PHO11	YAR071W
S000000097	ECM15	YBL001C
S000000098	HTB2	YBL002W
S000000099	HTA2	YBL003C|H2A2
S000000100	UTP20	YBL004W
S000000101	PDR3	YBL005W|AMY2|TPE2
S000000102	LDB7	YBL006C|RSC14
S000000103	SLA1	YBL007C
S000000104	HIR1	YBL008W
S000000105	ALK2	YBL009W
S000000106	YBL010C	YBL010C
S000000107	SCT1	YBL011W|GAT2|bifunctional glycerol-3-phosphate/glycerone-phosphate O-acyltransferase SCT1
S000000109	FMT1	YBL013W
S000000110	RRN6	YBL014C
S000000111	ACH1	YBL015W
